web	Latitude	Longitude	connectance	web.asymmetry	links.per.species	nestedness	n.aff	n.hosts	host.sharing	aff.sharing	modularity	z.est	zstar	zstarLO	zstarHI	coex.plant	coex.poll	Ntot	Nact	Nzyg	Nnon	PropZ	ZvA	lat.x	lat.sc	mnPoll	mdPoll	mnMNshared	mnRshared
M_PL_066	-22.5	-44.83	0.559139785	-0.675675676	2.810810811	17.08296357	6	31	9.066666667	2.520430108	0.038137939	0.127016289	0.051152718	-0.659208395	0.761513832	4.28335441	14.1648145	31	18	13	0	0.419354839	0.722222222	4.74341649	0.193053274	3.35483871	3	2.520430108	0.773422939
M_PL_005	38.841784	-105.043821	0.034962121	0.482479784	2.48787062	1.720960815	275	96	0.324273391	0.961842105	0.240875095	0.58983217	0.601300871	0.588852425	0.613749318	3.81145165	1.8201923	96	76	20	0	0.208333333	0.263157895	6.232317707	0.910815112	9.614583333	4	0.961842105	0.117758888
M_PL_006	52.762395	1.575532	0.140790743	0.564102564	1.871794872	5.720287454	61	17	0.940437158	1.786764706	0.329118967	0.596842278	NA	NA	NA	3.435250413	1.746933184	17	9	8	0	0.470588235	0.888888889	7.26377278	1.408053667	8.588235294	4	1.786764706	0.320497366
M_PL_007	52.413173	1.097873	0.147569444	0.384615385	1.634615385	9.519689977	36	16	0.677777778	1.058333333	0.361384094	0.607385695	0.610812762	0.573360231	0.648265292	3.012634486	1.92646575	16	11	5	0	0.3125	0.454545455	7.239694262	1.396446019	5.3125	3.5	1.058333333	0.267207792
M_PL_047	56.066667	9.266667	0.120260328	0.814634146	2.073170732	7.638519518	186	19	0.532984598	4.274853801	0.287454665	0.634199404	NA	NA	NA	9.823195308	1.579731136	19	18	1	0	0.052631579	0.055555556	7.487767825	1.516036046	22.36842105	15	4.274853801	0.274309257
M_PL_048	56.1	9.1	0.094774011	0.77443609	2.522556391	6.026549931	236	30	0.537216012	3.731034483	0.208004147	0.57122202	0.580128312	0.469084047	0.691172577	9.205570492	1.8591012	30	26	4	0	0.133333333	0.153846154	7.489993324	1.517108903	22.36666667	17.5	3.731034483	0.211037699
M_PL_008	28.216667	-16.633333	0.253588517	0.551020408	2.163265306	31.56929342	38	11	0.800853485	2.745454545	0.210484177	0.481152397	0.552612837	0.518415733	0.586809941	9.28476307	2.412917331	11	6	5	0	0.454545455	0.833333333	5.311936276	0.467122368	9.636363636	9	2.745454545	0.298502886
M_PL_010	74.5	-20.5	0.193548387	0.420560748	4.261682243	24.98358819	76	31	1.410877193	4.769892473	0.024998073	0.359172691	0.399606633	0.375332236	0.42388103	12.35838052	3.673766886	31	29	2	0	0.064516129	0.068965517	8.631338251	2.067322593	14.70967742	13	4.769892473	0.33224919
M_PL_009	68.35	18.5	0.085451977	0.661971831	1.704225352	10.21218016	118	24	0.265391859	1.307971014	0.436266273	0.678018114	0.723926978	0.70030218	0.747551776	7.484051393	1.481789709	24	20	4	0	0.166666667	0.2	8.267405881	1.891879949	10.08333333	8	1.307971014	0.145302784
M_PL_068	1.25	-77.43	0.297491039	-0.55	2.075	21.25924657	9	31	2.916666667	1.206451613	0.226012498	0.244160249	0.269675952	0.250123615	0.28922829	2.552818075	6.131088238	31	27	4	0	0.129032258	0.148148148	1.118033989	-1.554652469	2.677419355	3	1.206451613	0.49016385
M_PL_016	37.016667	-6.55	0.088525999	0.746341463	2.009756098	7.245293663	179	26	0.404431611	2.384615385	0.420683503	0.650000685	0.634485824	0.420849673	0.848121975	9.46794601	1.622885329	26	18	8	0	0.307692308	0.444444444	6.084132395	0.8393787	15.84615385	15.5	2.384615385	0.202144688
M_PL_014	81.816667	-71.3	0.076202639	0.472727273	1.627272727	4.535409759	81	29	0.502469136	0.534482759	0.440591723	0.629266834	0.687598759	0.662623728	0.712573789	2.896182607	1.707172963	29	27	2	0	0.068965517	0.074074074	9.045256602	2.266862222	6.172413793	3	0.534482759	0.131023731
M_PL_041	15.518889	-61.467222	0.108777194	0.162162162	1.959459459	10.46813375	43	31	0.712070875	0.784946237	0.350225925	0.490099645	0.493959892	0.408227681	0.579692103	2.551335113	2.206867053	31	24	6	1	0.193548387	0.25	3.939402112	-0.19454184	4.5	3	0.768888889	0.193447506
M_PL_040	18.353889	-77.645278	0.091419407	0.194444444	1.583333333	6.845314206	43	29	0.436323367	0.455665025	0.503731906	0.565897632	0.590466421	0.528940913	0.651991929	2.460242249	2.125701472	29	17	1	11	0.034482759	0.058823529	4.284143905	-0.02835049	4.166666667	2.5	0.422619048	0.127505354
M_PL_057	35.166667	135.866667	0.019073732	0.771313942	1.925777332	0.787348194	883	114	0.124973357	0.972519795	0.481282651	0.731059995	0.750420086	0.744836559	0.756003614	4.791244377	1.416736111	114	94	17	3	0.149122807	0.180851064	5.930148986	0.76514717	17.02702703	6	0.991788248	0.097991873
M_PL_019	-36.45	148.266667	0.077647059	0.36	2.112	6.755475065	85	40	0.378711485	1.087179487	0.336482704	0.571848829	0.601195075	0.570604289	0.631785861	3.98963221	1.861381354	40	36	4	0	0.1	0.111111111	6.037383539	0.816842252	6.6	5	1.087179487	0.19299478
M_PL_061_01	-4.666667	55.43333	0.283333333	0.411764706	1	26.82252866	12	5	0.545454545	0.7	0.52422148	0.76392734	NA	NA	NA	2.804473815	1.30481254	5	5	0	0	0	0	2.160246977	-1.052227794	3.4	2	0.7	0.2875
M_PL_061_02	-4.666667	55.43333	0.317647059	0.545454545	1.227272727	21.48201242	17	5	0.816176471	1.8	0.354595363	0.678192617	NA	NA	NA	4.076955624	1.219507089	5	5	0	0	0	0	2.160246977	-1.052227794	5.4	3	1.8	0.477380952
M_PL_061_03	-4.666667	55.43333	0.285714286	0.4	1.2	32.85166455	14	6	0.516483516	1.2	0.388020813	0.67296885	NA	NA	NA	3.820763061	1.341020375	6	6	0	0	0	0	2.160246977	-1.052227794	4	3.5	1.2	0.334722222
M_PL_061_04	-4.666667	55.43333	0.258928571	0.272727273	1.318181818	25.32892668	14	8	0.703296703	1.428571429	0.340665877	0.633692309	NA	NA	NA	3.686744209	1.72131804	8	8	0	0	0	0	2.160246977	-1.052227794	3.625	3	1.428571429	0.420535714
M_PL_061_05	-4.666667	55.43333	0.193181818	0.294117647	1.5	18.44634591	22	12	0.614718615	1.196969697	0.381391764	0.593532702	NA	NA	NA	3.706117255	1.759713545	12	12	0	0	0	0	2.160246977	-1.052227794	4.25	3.5	1.196969697	0.326599327
M_PL_061_06	-4.666667	55.43333	0.21969697	0.371428571	1.657142857	31.31834609	24	11	0.507246377	2.127272727	0.313466102	0.61593362	NA	NA	NA	5.346072906	1.653154947	11	10	1	0	0.090909091	0.1	2.160246977	-1.052227794	5.272727273	5	2.127272727	0.42033189
M_PL_061_07	-4.666667	55.43333	0.299516908	0.4375	1.9375	24.17578492	23	9	0.924901186	2.861111111	0.171175838	0.499029317	NA	NA	NA	7.621652373	2.036264439	9	9	0	0	0	0	2.160246977	-1.052227794	6.888888889	8	2.861111111	0.407223409
M_PL_061_08	-4.666667	55.43333	0.307017544	0.52	1.4	28.17995381	19	6	0.695906433	2.133333333	0.368163288	0.637034967	NA	NA	NA	6.198277186	1.644510928	6	6	0	0	0	0	2.160246977	-1.052227794	5.833333333	4	2.133333333	0.44020202
M_PL_061_09	-4.666667	55.43333	0.25	0.25	0.9375	30.09916492	10	6	0.422222222	0.333333333	0.49333334	0.762201196	NA	NA	NA	2.07349895	1.367289939	6	6	0	0	0	0	2.160246977	-1.052227794	2.5	2	0.333333333	0.157777778
M_PL_061_10	-4.666667	55.43333	0.285714286	0.473684211	1.052631579	36.88116078	14	5	0.428571429	0.8	0.488750011	0.736011404	NA	NA	NA	3.818566966	1.494511545	5	5	0	0	0	0	2.160246977	-1.052227794	4	4	0.8	0.222857143
M_PL_061_11	-4.666667	55.43333	0.236111111	0.333333333	0.944444444	32.96433816	12	6	0.378787879	0.4	0.538062274	0.775610729	NA	NA	NA	2.377927432	1.367468621	6	5	1	0	0.166666667	0.2	2.160246977	-1.052227794	2.833333333	2.5	0.4	0.130555556
M_PL_061_12	-4.666667	55.43333	0.285714286	0.263157895	1.263157895	22.42545846	12	7	0.53030303	1.571428571	0.358506948	0.641092214	NA	NA	NA	3.760681275	1.542688556	7	7	0	0	0	0	2.160246977	-1.052227794	3.428571429	3	1.571428571	0.530555556
M_PL_061_13	-4.666667	55.43333	0.293233083	0.461538462	1.5	22.41073855	19	7	0.918128655	2.238095238	0.329717278	0.572501303	0.63672313	-0.449998388	1.723444647	5.006308813	1.914730468	7	7	0	0	0	0	2.160246977	-1.052227794	5.571428571	4	2.238095238	0.495535714
M_PL_061_14	-4.666667	55.43333	0.272727273	0.294117647	1.058823529	40.41584472	11	6	0.381818182	0.933333333	0.421296299	0.703359197	NA	NA	NA	3.167063316	1.407047296	6	6	0	0	0	0	2.160246977	-1.052227794	3	3	0.933333333	0.280555556
M_PL_061_15	-4.666667	55.43333	0.305555556	0.5	1.375	32.17201028	18	6	0.581699346	1.8	0.374655634	0.616008484	NA	NA	NA	5.071568111	1.634765826	6	6	0	0	0	0	2.160246977	-1.052227794	5.5	4.5	1.8	0.373148148
M_PL_061_16	-4.666667	55.43333	0.269736842	0.407407407	1.518518519	24.08915127	19	8	0.766081871	1.678571429	0.372099936	0.567262928	NA	NA	NA	4.036390833	1.685012309	8	7	1	0	0.125	0.142857143	2.160246977	-1.052227794	5.125	3.5	1.678571429	0.398809524
M_PL_061_17	-4.666667	55.43333	0.162393162	0.181818182	0.863636364	26.71221319	13	9	0.217948718	0.277777778	0.619113564	0.78173483	NA	NA	NA	1.868296732	1.28147518	9	8	1	0	0.111111111	0.125	2.160246977	-1.052227794	2.111111111	2	0.277777778	0.150462963
M_PL_061_18	-4.666667	55.43333	0.176767677	0.24137931	1.206896552	21.51587222	18	11	0.320261438	0.854545455	0.52448982	0.688957831	NA	NA	NA	3.00504029	1.464181308	11	11	0	0	0	0	2.160246977	-1.052227794	3.181818182	4	0.854545455	0.315909091
M_PL_061_19	-4.666667	55.43333	0.19047619	0.3125	1.375	16.00195273	21	11	0.452380952	1.127272727	0.434917361	0.658435045	0.661589546	0.620869668	0.702309424	3.368075032	1.698979176	11	11	0	0	0	0	2.160246977	-1.052227794	4	4	1.127272727	0.336060606
M_PL_061_20	-4.666667	55.43333	0.162337662	0.12	1	16.76978623	14	11	0.340659341	0.418181818	0.555199981	0.67142885	NA	NA	NA	1.673659308	1.423719121	11	11	0	0	0	0	2.160246977	-1.052227794	2.272727273	2	0.418181818	0.232121212
M_PL_061_21	-4.666667	55.43333	0.217171717	0.24137931	1.482758621	28.06622255	18	11	0.529411765	1.2	0.412385106	0.585611135	NA	NA	NA	3.533570146	1.87566478	11	11	0	0	0	0	2.160246977	-1.052227794	3.909090909	4	1.2	0.297121212
M_PL_061_22	-4.666667	55.43333	0.155555556	0.285714286	1	24.48095694	18	10	0.254901961	0.422222222	0.607780635	0.765718656	NA	NA	NA	2.235148247	1.347212618	10	10	0	0	0	0	2.160246977	-1.052227794	2.8	3	0.422222222	0.161111111
M_PL_061_23	-4.666667	55.43333	0.173076923	0.444444444	1.25	16.54070344	26	10	0.381538462	0.888888889	0.529382765	0.694587608	NA	NA	NA	2.947354227	1.502530112	10	10	0	0	0	0	2.160246977	-1.052227794	4.5	4	0.888888889	0.278425926
M_PL_061_24	-4.666667	55.43333	0.232323232	0.24137931	1.586206897	16.55721642	18	11	0.653594771	1.545454545	0.441162527	0.574495637	0.556393614	0.289663445	0.823123782	3.864211341	1.792189448	11	11	0	0	0	0	2.160246977	-1.052227794	4.181818182	3	1.545454545	0.446464646
M_PL_061_25	-4.666667	55.43333	0.381818182	0.375	1.3125	29.33330983	11	5	0.672727273	2	0.31179139	0.592631386	NA	NA	NA	4.982176781	1.609157129	5	5	0	0	0	0	2.160246977	-1.052227794	4.2	4	2	0.500833333
M_PL_061_26	-4.666667	55.43333	0.307692308	0.3	1.4	32.32048551	13	7	0.730769231	1.19047619	0.267857134	0.545631101	NA	NA	NA	3.71063017	1.992435586	7	6	1	0	0.142857143	0.166666667	2.160246977	-1.052227794	4	4	1.19047619	0.289880952
M_PL_061_27	-4.666667	55.43333	0.269230769	0.368421053	1.105263158	29.2055996	13	6	0.512820513	0.6	0.418367326	0.70842544	NA	NA	NA	2.610045974	1.513647423	6	5	1	0	0.166666667	0.2	2.160246977	-1.052227794	3.5	3.5	0.6	0.18484127
M_PL_061_28	-4.666667	55.43333	0.236842105	0.407407407	1.333333333	20.69195698	19	8	0.666666667	1.392857143	0.422453731	0.637235393	NA	NA	NA	3.034727297	1.601643741	8	6	2	0	0.25	0.333333333	2.160246977	-1.052227794	4.5	3.5	1.392857143	0.396611722
M_PL_061_29	-4.666667	55.43333	0.270833333	0.384615385	1.5	25.50660768	18	8	0.660130719	1.785714286	0.320512801	0.587388703	NA	NA	NA	4.580699255	1.695293804	8	7	1	0	0.125	0.142857143	2.160246977	-1.052227794	4.875	4.5	1.785714286	0.395039683
M_PL_061_30	-4.666667	55.43333	0.32967033	0.3	1.5	23.7872569	13	7	0.794871795	1.857142857	0.355555534	0.564683444	NA	NA	NA	4.691094907	2.119319815	7	7	0	0	0	0	2.160246977	-1.052227794	4.285714286	3	1.857142857	0.498185941
M_PL_061_31	-4.666667	55.43333	0.368421053	0.583333333	1.458333333	34.83514276	19	5	0.678362573	3.1	0.25836736	0.625964111	NA	NA	NA	7.13637297	1.54773252	5	5	0	0	0	0	2.160246977	-1.052227794	7	8	3.1	0.473055556
M_PL_061_32	-4.666667	55.43333	0.259259259	0.5	1.166666667	32.38173219	18	6	0.470588235	1.266666667	0.472576529	0.729539715	NA	NA	NA	4.539353366	1.321876266	6	5	1	0	0.166666667	0.2	2.160246977	-1.052227794	4.666666667	4	1.266666667	0.26494709
M_PL_061_35	-4.666667	55.43333	0.162393162	0.181818182	0.863636364	26.00083533	13	9	0.256410256	0.333333333	0.576177299	0.790177045	NA	NA	NA	1.626648407	1.369588671	9	9	0	0	0	0	2.160246977	-1.052227794	2.111111111	1	0.333333333	0.153240741
M_PL_061_36	-4.666667	55.43333	0.260504202	0.416666667	1.291666667	31.20069619	17	7	0.5	1.333333333	0.382414162	0.645526606	NA	NA	NA	4.088804308	1.549813161	7	7	0	0	0	0	2.160246977	-1.052227794	4.428571429	4	1.333333333	0.344708995
M_PL_061_37	-4.666667	55.43333	0.205741627	0.266666667	1.433333333	24.53282356	19	11	0.485380117	1.218181818	0.43942672	0.593196836	NA	NA	NA	3.854427193	1.66452591	11	11	0	0	0	0	2.160246977	-1.052227794	3.909090909	3	1.218181818	0.339502165
M_PL_061_38	-4.666667	55.43333	0.213043478	0.393939394	1.484848485	31.18574255	23	10	0.537549407	1.288888889	0.345272779	0.599846196	NA	NA	NA	4.105295162	1.602423465	10	10	0	0	0	0	2.160246977	-1.052227794	4.9	3.5	1.288888889	0.29234608
M_PL_061_39	-4.666667	55.43333	0.285714286	0.533333333	1.533333333	41.22612252	23	7	0.604743083	2.333333333	0.289697528	0.620259705	NA	NA	NA	7.194144254	1.632752959	7	7	0	0	0	0	2.160246977	-1.052227794	6.571428571	6	2.333333333	0.360600907
M_PL_061_40	-4.666667	55.43333	0.247863248	0.485714286	1.657142857	24.39360823	26	9	0.633846154	2.277777778	0.323573142	0.595835754	NA	NA	NA	6.357752852	1.6395276	9	9	0	0	0	0	2.160246977	-1.052227794	6.444444444	5	2.277777778	0.35424032
M_PL_061_42	-4.666667	55.43333	0.242424242	0.294117647	0.941176471	31.32101542	11	6	0.4	0.533333333	0.482421875	0.758552736	NA	NA	NA	2.186821769	1.278059869	6	6	0	0	0	0	2.160246977	-1.052227794	2.666666667	2.5	0.533333333	0.2
M_PL_061_43	-4.666667	55.43333	0.180555556	0.28	1.04	26.91720024	16	9	0.275	0.611111111	0.564349115	0.766154793	NA	NA	NA	2.742014918	1.331573057	9	9	0	0	0	0	2.160246977	-1.052227794	2.888888889	3	0.611111111	0.239351852
M_PL_061_44	-4.666667	55.43333	0.209090909	0.047619048	1.095238095	15.60789776	11	10	0.472727273	0.933333333	0.406427234	0.666600967	NA	NA	NA	1.839848224	1.373209597	10	10	0	0	0	0	2.160246977	-1.052227794	2.3	2	0.933333333	0.508148148
M_PL_061_45	-4.666667	55.43333	0.197628458	0.352941176	1.470588235	22.27989558	23	11	0.462450593	1.236363636	0.456399977	0.622874443	NA	NA	NA	4.239713234	1.67868302	11	11	0	0	0	0	2.160246977	-1.052227794	4.545454545	4	1.236363636	0.330555556
M_PL_061_46	-4.666667	55.43333	0.164835165	0.235294118	1.323529412	25.5942306	21	13	0.323809524	0.884615385	0.451851845	0.653953205	NA	NA	NA	3.435548921	1.655494653	13	13	0	0	0	0	2.160246977	-1.052227794	3.461538462	4	0.884615385	0.285363248
M_PL_061_47	-4.666667	55.43333	0.243589744	0.485714286	1.628571429	28.80022057	26	9	0.695384615	1.944444444	0.251615882	0.588212641	NA	NA	NA	4.872040787	1.87473104	9	9	0	0	0	0	2.160246977	-1.052227794	6.333333333	5	1.944444444	0.313568376
M_PL_061_48	-4.666667	55.43333	0.253968254	0.217391304	1.391304348	40.40396693	14	9	0.494505495	1.277777778	0.387695313	0.579985829	NA	NA	NA	3.566984009	1.855914867	9	9	0	0	0	0	2.160246977	-1.052227794	3.555555556	3	1.277777778	0.371527778
M_PL_060_01	-20.7	57.733333	0.221445221	0.56	1.9	25.25205338	39	11	0.627530364	2.8	0.296509713	0.579734917	NA	NA	NA	7.298793401	1.71458269	11	11	0	0	0	0	4.549725266	0.099679606	8.636363636	10	2.8	0.336486291
M_PL_060_02	-20.7	57.733333	0.234649123	0.52	2.14	19.5318752	38	12	0.884779516	2.712121212	0.242422909	0.519935555	0.535610257	0.521463406	0.549757107	6.404645786	2.312079347	12	12	0	0	0	0	4.549725266	0.099679606	8.916666667	9.5	2.712121212	0.310915978
M_PL_060_03	-20.7	57.733333	0.222222222	0.551724138	2.24137931	18.64312008	45	13	0.834343434	3.128205128	0.190325439	0.509545247	NA	NA	NA	7.98278426	2.152427682	13	13	0	0	0	0	4.549725266	0.099679606	10	10	3.128205128	0.347405483
M_PL_060_04	-20.7	57.733333	0.138716356	0.373134328	2	16.21966241	46	21	0.525603865	1.442857143	0.299871922	0.561082758	0.53136891	0.405268012	0.657469807	4.896179524	2.147858562	21	21	0	0	0	0	4.549725266	0.099679606	6.380952381	5	1.442857143	0.260189909
M_PL_060_05	-20.7	57.733333	0.080808081	0.24137931	1.655172414	8.796050479	54	33	0.287910552	0.723484848	0.436125547	0.627582033	0.623014705	0.545898333	0.700131077	3.657196843	1.602678957	33	33	0	0	0	0	4.549725266	0.099679606	4.363636364	4	0.723484848	0.185955449
M_PL_060_06	-20.7	57.733333	0.082051282	0.267605634	1.352112676	7.479425414	45	26	0.250505051	0.492307692	0.512586772	0.683200896	0.737146308	0.715977175	0.75831544	2.820208302	1.671323509	26	26	0	0	0	0	4.549725266	0.099679606	3.692307692	3	0.492307692	0.154835165
M_PL_060_07	-20.7	57.733333	0.095490716	0.147058824	1.588235294	7.624619308	39	29	0.341430499	0.938423645	0.399391294	0.635719444	NA	NA	NA	3.489202607	1.502658726	29	28	1	0	0.034482759	0.035714286	4.549725266	0.099679606	3.724137931	3	0.938423645	0.291249316
M_PL_060_08	-20.7	57.733333	0.135338346	0.191489362	1.531914894	13.09654134	28	19	0.436507937	0.824561404	0.451003104	0.593912025	0.077737331	-6.736517486	6.891992148	2.875629806	1.653137581	19	19	0	0	0	0	4.549725266	0.099679606	3.789473684	3	0.824561404	0.261631035
M_PL_060_09	-20.7	57.733333	0.108333333	0.379310345	1.344827586	11.22673861	40	18	0.311538462	0.673202614	0.470003277	0.688949139	NA	NA	NA	2.725074744	1.460301398	18	18	0	0	0	0	4.549725266	0.099679606	4.333333333	3	0.673202614	0.196091454
M_PL_060_10	-20.7	57.733333	0.145714286	0.282051282	1.307692308	16.3350402	25	14	0.423333333	0.538461538	0.5	0.653439813	0.631942432	0.478848316	0.785036548	2.640995339	1.775077102	14	14	0	0	0	0	4.549725266	0.099679606	3.642857143	2.5	0.538461538	0.160893075
M_PL_060_11	-20.7	57.733333	0.153571429	0.176470588	1.264705882	14.84920124	20	14	0.442105263	0.494505495	0.510005414	0.615307057	0.658221758	0.417883943	0.898559573	2.292973746	1.752130891	14	14	0	0	0	0	4.549725266	0.099679606	3.071428571	2.5	0.494505495	0.194505495
M_PL_060_12	-20.7	57.733333	0.20979021	0.405405405	1.621621622	25.42457772	26	11	0.556923077	1.436363636	0.290972233	0.576712295	0.574930663	0.549335401	0.600525925	4.089341605	1.782692071	11	11	0	0	0	0	4.549725266	0.099679606	5.454545455	5	1.436363636	0.254191919
M_PL_060_13	-20.7	57.733333	0.221198157	0.631578947	1.263157895	24.412473	31	7	0.574193548	1.047619048	0.433810741	0.691792924	NA	NA	NA	3.635522456	1.4143732	7	7	0	0	0	0	4.549725266	0.099679606	6.857142857	5	1.047619048	0.153276183
M_PL_060_14	-20.7	57.733333	0.243243243	0.541666667	2.0625	21.72455251	37	11	0.822822823	2.8	0.250535667	0.517289095	0.5195832	0.464167451	0.574998948	6.164575232	2.122722447	11	11	0	0	0	0	4.549725266	0.099679606	9	11	2.8	0.324473405
M_PL_060_15	-20.7	57.733333	0.252895753	0.450980392	2.568627451	27.8166124	37	14	1.010510511	3.307692308	0.152526081	0.421884594	NA	NA	NA	8.678076493	2.66793545	14	14	0	0	0	0	4.549725266	0.099679606	9.357142857	8	3.307692308	0.370795173
M_PL_060_16	-20.7	57.733333	0.171945701	0.392857143	2.035714286	15.7125461	39	17	0.608636977	1.985294118	0.295129269	0.541995943	0.612853141	0.59787599	0.627830292	5.941142622	2.01661862	17	17	0	0	0	0	4.549725266	0.099679606	6.705882353	7	1.985294118	0.333648225
M_PL_060_17	-20.7	57.733333	0.168067227	0.346153846	1.923076923	18.49626763	35	17	0.566386555	1.455882353	0.365350008	0.536821031	0.472911329	0.045830517	0.89999214	4.729629814	1.901909444	17	17	0	0	0	0	4.549725266	0.099679606	5.882352941	6	1.455882353	0.274483543
M_PL_060_18	-20.7	57.733333	0.133928571	0.166666667	1.5625	11.22153014	28	20	0.518518519	0.905263158	0.402666628	0.585534167	0.601535514	0.547800354	0.655270673	2.75480935	1.84768479	20	20	0	0	0	0	4.549725266	0.099679606	3.75	3	0.905263158	0.290606564
M_PL_060_19	-20.7	57.733333	0.175213675	-0.161290323	1.322580645	10.41349561	13	18	0.679487179	0.692810458	0.438726902	0.514583055	NA	NA	NA	1.582573154	2.295514641	18	18	0	0	0	0	4.549725266	0.099679606	2.277777778	1.5	0.692810458	0.402497666
M_PL_060_20	-20.7	57.733333	0.171296296	0.2	1.233333333	15.10804158	18	12	0.490196078	0.621212121	0.452154845	0.630790177	NA	NA	NA	2.064072743	1.45949403	12	12	0	0	0	0	4.549725266	0.099679606	3.083333333	2	0.621212121	0.263720539
M_PL_060_21	-20.7	57.733333	0.242424242	0.571428571	1.142857143	22.8146491	22	6	0.567099567	1	0.458984375	0.787117703	NA	NA	NA	3.475604967	1.202484821	6	6	0	0	0	0	4.549725266	0.099679606	5.333333333	4	1	0.304166667
M_PL_060_22	-20.7	57.733333	0.158808933	0.409090909	1.454545455	9.988334022	31	13	0.556989247	1.038461538	0.423339844	0.667028607	NA	NA	NA	2.979283542	0.999881816	13	13	0	0	0	0	4.549725266	0.099679606	4.923076923	3	1.038461538	0.323437238
M_PL_060_23	-20.7	57.733333	0.175925926	0.384615385	1.461538462	17.73838952	27	12	0.538461538	1.075757576	0.405663252	0.629723198	NA	NA	NA	3.726869156	1.479743379	12	12	0	0	0	0	4.549725266	0.099679606	4.75	3.5	1.075757576	0.271951659
M_PL_060_24	-20.7	57.733333	0.136904762	0.263157895	1.210526316	23.65988445	24	14	0.289855072	0.43956044	0.528591692	0.668097893	0.463617565	-5.353951935	6.281187064	2.784810127	1.595964472	14	14	0	0	0	0	4.549725266	0.099679606	3.285714286	2.5	0.43956044	0.140763998
M_PL_054	35.033333	135.783333	0.02151166	0.475638051	1.79350348	1.149598587	318	113	0.155328056	0.350979772	0.456887424	0.681959767	0.690523312	0.665073937	0.715972688	3.234535657	1.586329547	113	96	17	0	0.150442478	0.177083333	5.918896265	0.759722516	6.840707965	4	0.350979772	0.062700581
M_PL_055	35.65	136.083333	0.034535256	0.505791506	1.664092664	2.883768664	195	64	0.159238699	0.401289683	0.518017769	0.678496918	0.702120583	0.682598331	0.721642836	3.337493903	1.526108574	64	49	10	5	0.15625	0.204081633	5.970762095	0.784725729	6.966101695	4	0.423997848	0.078800442
